Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
What can cause Bilateral Fluid Accumulation outside around the capsule and in the capsule?,"November 30, 2017","Grand Rapids, MI","I had a Double Mastectomy w/reconstruction expanders placed at that time. When fills were done I waited 4 mo. then exchanged to implants. 1 mo. following exchange I had no idea I had fluid accumulation but quickly found that out during a incision revision on both sides and lots of fluid came pouring out. Exactly 1 mo. following that again the incisions had to be revised and again much fluid in both sides, I have drains in now and it has been 3 wks, the output 50cc per side a day consistently.",What can cause Bilateral Fluid Accumulation outside around the capsule and in the capsule?
"Double mastectomy with radiation on left side. 4 mo after radiation, had expanders placed. I'm 5'6/115 pounds. Implant options?","May 23, 2017","North Dakota, ND","My right side accepted the fills with no problem, but the radiated side is too tight and not expanding. We had to stop at 400cc. The expander filled up high, but not below. What implants would be my best option? I can have 200cc only. Should I look at high profile or ultra high? Textured versus smooth? Round versus shaped? My original goal was to be a size B. At this point, I want breasts that match along with cleavage. I'm very active and love lifting. I appreciate any suggestions & help.","Double mastectomy with radiation on left side. 4 mo after radiation, had expanders placed. I'm 5'6/115 pounds. Implant options?"
"Expander size is too small, what are my options?","April 3, 2015","Austin, TX","What can be done if the expanders placed are too small? My Dr placed 300cc expanders & overfilled to 400cc. I already had 275cc implants prior to my mastectomy & was very specific I wanted to be at least a full C (size prior to) or small D. I am very unhappy with my size B & Dr said he cannot fill more due to expander size. Is it possible to have a larger implant placed at the exchange? Do I need bigger expanders placed to increase the pocket size? I am 5'5, 130 pounds with a slender build.","Expander size is too small, what are my options?"
I have 400cc expanders. How far beyond the 400cc is it safe to fill?,"August 8, 2018","Nyack, NY","I had a bilateral mastectomy and have allergen 400cc expanders. I've been receiving expansions every two weeks. My skin is stretching ok. I wanted to know up to how many ccs can be filled into the 400cc expanders safely. I know one woman who had a rupture and I don't want to risk any problems. I read that it was ok to go up to twice the amount (800cc), but I don't know if that presents serious risk. Thank you.",I have 400cc expanders. How far beyond the 400cc is it safe to fill?
"I have 700 cc expander. After I reach 700cc, how much more can safely be put in the expander?","August 12, 2014","Greensburg, PA",,"I have 700 cc expander. After I reach 700cc, how much more can safely be put in the expander?"
Will the FDA approve any implants larger than 800cc for a reconstruction patient any time soon in the US?,"May 27, 2016","Elizabethtown, KY",Needing to know about implants larger than 800cc,Will the FDA approve any implants larger than 800cc for a reconstruction patient any time soon in the US?
What are these little bumps on my breast post reconstructive surgery with Strattice? (photos),"January 10, 2019",,"Hello! 3 days ago I got reconstructive surgery on my left breast with Strattice placed inside to help with my very thin skin and extreme rippling on the lower part of my breast. Since then the pain has been minimal and I don’t have any redness or soreness beyond a normal post surgery feeling. However I have these little bumps that you can see better in harsh light, they aren’t painful. What are these?",What are these little bumps on my breast post reconstructive surgery with Strattice? (photos)
Reconstruction expansion & getting implants in 2 months. Is it normal for my nipples to be lower than before double mastectomy?,"November 5, 2016","Arvada, CO",Is it normal for my nipples to be lower than they were before the double masectomy?,Reconstruction expansion & getting implants in 2 months. Is it normal for my nipples to be lower than before double mastectomy?
Why would one implant drop after reconstruction? (Photo),"June 25, 2016","Washington, DC",Hi. I'm 29 and had a prophylactic mastectomy due to brca gene. The reconstruction with gummy bear implants was a year ago in August. Recently I've noticed one implant is decently lower than the other. It also has a divot when I lie down and feels less firm. I believe this is relatively new. Concerned there's something wrong and I'll need to have surgery again. Thanks so much for any insight!,Why would one implant drop after reconstruction? (Photo)
I had my surgery 9 days ago. Is this normal swelling or is my left breast bottoming out? (PHOTOS),"August 30, 2017",,I can't feel the implant and from what I've been able to research myself it seems normal but it just looks so wrong. There's no pain so I'm hoping everything is ok and I can wait until my follow up appointment next week. Do they look ok or should I go see my doctor sooner?,I had my surgery 9 days ago. Is this normal swelling or is my left breast bottoming out? (PHOTOS)
I have Breast MRI every year for the past six years. Received mixed feedback on my next step.,"March 30, 2018","Denver, CO","Cancer free for 20 years, initial tumor was 12cm with no symptoms. Had breast implants 15 years ago This year the MRI came back as a 4x8x3 oval mass along the inferior margin of the implant. It said rapid washout kinetics. Had an ultrasound and he said it was scar tissue. It wasn’t there last year. Should I have other tests or who should I follow up with",I have Breast MRI every year for the past six years. Received mixed feedback on my next step.
"Are my expectations too high? What are realistic expectations? 56 years old, single mastectomy (left). Have had 3 surgeries.","April 12, 2018",,"This is hard for me to share. I am conflicted about what my options are. I had my 3rd surgery (fat filled with 95cc’s) March 8th and there is little difference. My breasts do not match and i still have pec muscle distortion. I can only have one more surgery due to the high deductible, not to mention I am emotionally done worrying about my breasts-time to finish and move on. Can my issues be fixed in one more procedure? Can i get a 2nd opinion without offending? Can i switch Drs at this point?","Are my expectations too high? What are realistic expectations? 56 years old, single mastectomy (left). Have had 3 surgeries."
