Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
How Long Until I Feel Better After Cellulitis on Breast?,7-Aug-10,Port Huron Michigan,"I have been in pain since Wed. Today is Sat. How long before I will be feeling better. The redness has went down a bit but,,, I have pain even up my arm now. I am on Leviquin 500. I am very scared. Where do I turn? My desease specialist I am seeing does not seem to be concerned. I am. This is the second time I have had this since being released for the hosptial.(I spent 1 week in there for this probem)ps. I have reconstructed breasts due to breat cancer. I had a bilaterial masectomy in 2008.",How Long Until I Feel Better After Cellulitis on Breast?,After Procedure Only,infection
"An Infection Keeps Reoccurring Following Surgery, Should I Worry?",1-Jan-12,Missouri,"In Aug. 2011 I Had a Nipple & Skin Sparing Bilateral Mastectomy.? I&#39;m Very Fortunate to Have Been a Good Candidate for This, but I keep having a recurring infection(red, draining & PS used term skin thinning but no fever)in rt breast after 2 tries w/bactrim PS arrated area & replaced skin expander so I could start chemo & it did well. I just finished my 3rd chemo treatment(I&#39;m half way through but still have a yr of Herceptin)the infection has returned & looks worse. PS put me on clindamysin hcl & doesnt seem to be helping so far (3rd day) & I&#39;m afraid the infection will spread to other areas. Should I be concerned?","An Infection Keeps Reoccurring Following Surgery, Should I Worry?",After Procedure Only,infection
"From expanders to implants, can the DR correct the shaping from the expanders shifting towards the armpits?",3-Sep-14,"Murfreesboro, TN","I had a double mastectomy on July 17, 2014. My Dr. put in a 300cc expander in both sides but has filled me up to 350cc. It now seems my breast are pushing towards my armpits leaving a large area in between. I am very concerned and wanted to talk about this more with him but he had more patients. He says my new muscles are over developing and pushing the breast to the side 7 this could effect the permeant look. Can't this be fixed with the implants.","From expanders to implants, can the DR correct the shaping from the expanders shifting towards the armpits?",After Procedure Only,implant
I have ripples in my implant. Is this normal?,6-Jan-15,"Evergreen, CO",I had my exchange surgery in April of 2014. In the last month the cleavage has a ripple. The right breast has a long strip coming down from my neck into the breast (it looks like a tendon). I spoke with my Dr. and he said that is normal for reconstruction and it is the best I can expect. He said he could put alladurm in those areas but that it will not last and it is not worth the risk of infection. Does this sound normal to you?,I have ripples in my implant. Is this normal?,After Procedure Only,implant
Can you have capsule contraction w/breast reconstruction (pec holding the implant in place)? How can I ease the discomfort?,22-Jan-16,"Astoria, NY","I had a pbm with direct implant reconstruction 2 years ago. My sister has commented that my right breast looks odd in certain exercises. Recently, I noticed that my right pec would get extremely tight, when there was no reason for it to be active at all. When this happens, it feels like there is no room for the implant. Could I have this capsule contraction where the muscle is affected instead of tissue? In case its relevant, I am currently 8 months pregnant. Is there anything I can do on my own?",Can you have capsule contraction w/breast reconstruction (pec holding the implant in place)? How can I ease the discomfort?,After Procedure Only,implant
it is almost 2 weeks i had breast reconstruction and implants. (photos),24-Jul-16,"Miami, FL",but seem the my right one is not getting better? can you please tell me how or why looks like that please or what should i do? i am using neosporin is i was told to used? thank you.,it is almost 2 weeks i had breast reconstruction and implants. (photos),After Procedure Only,implant
I think my doctor left something inside me. Black mesh of some sort? (Photos),14-Sep-16,"Norfolk, VA","I had a breast reduction with implants, contracted gangrene after the first week. Then a small hole appeared under my breast the doctor said it was just draining, went back again hole had gotten a little bigger. I could see some thing black in side. ) and I can clearly see a black mesh or sponge ? is this and is it normal?? I am scared to death, my PCP says that it's not. And I should have emergency surgery to remove the object. Please help me!",I think my doctor left something inside me. Black mesh of some sort? (Photos),After Procedure Only,implant
Very non-compliant patient needing clearer guidelines. How much do I really need to listen to restrictions?,"April 19, 2015","East Texas, PA","I had a double mastectomy 9 months ago and was back at the gym 2 weeks later lifting. I had reconstruction surgery a few days ago. I opted for the very painful direct to implant option. My PS said it required using more muscle than most implant surgeries. extra muscles pulled up to cover the implant. Already I find myself trying to do laundry, lifting stuff- I have 3 kids! While I'll let go of deadlifting and bench pressing for now, how much do I really need to listen to restrictions?",Very non-compliant patient needing clearer guidelines. How much do I really need to listen to restrictions?,After Procedure Only,implant
One expander is higher than the other! Can this be rectified when the permanent implants are in?,8-May-15,"Florida, FL","I revently had a preventive nipple sparing bilateral mastectomy. Recovery has been quite easy for me. I am healing really well and the pain and soreness have been quite manageable. One of the expanders is higher and bigger than the other. It is quite obvious My question is ; can this be rectified when the permanent implants are in or am I stuck with two different looking breasts. Thank you. Concerned, Fl.",One expander is higher than the other! Can this be rectified when the permanent implants are in?,After Procedure Only,implant
I had bilateral mastectomy 11 weeks ago with implants placed at the same time. What should I expect? (photos),14-May-15,"Weirton, WV","I had precancerous nodules with large family hx.?6 weeks post op right breast became encapsulated they were over the muscle. I went back to surgery took implants out cleaned and debrided scar tissue in surgery for 5 hours placed implants under the muscle. post op day four MD aspirated 500cc of fluid from each breast. Went to radiology for ultrasound guidied drains, despite many attempts Dr was only able to place drain in right breast. 2-3 days later became very ill MD admitted placed drains cultures + Staph in left breast. What should I expect?",I had bilateral mastectomy 11 weeks ago with implants placed at the same time. What should I expect? (photos),After Procedure Only,implant
